Nom,Description,Type,Caractéristiques,Couleur,AnchorID,Age,Source,Periode,URLs,WIkipédia,ValeurWiki,Vaincre-phobie,ValeurVP,Sites,ValeurSite,Langues,Popularite
Ablutophobie,Peur de se baigner. Cette phobie est plus une peur de la noyade qu'une peur de l'eau.,Troubles psychologiques,Elements naturels,#49684a,ablutophobie-14,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Ablutophobie,Oui,10,Oui,10,Oui,10,14,1
Acarophobie,"Peur des parasites de la peau, des acariens.",Troubles psychologiques,Maladie,#ce92b7,acarophobie-37,Adulte,Inconnu,Moderne,http://fr.wikipedia.org/wiki/Acarophobie,Oui,10,Oui,10,Oui,10,2,2
Acérophobie,Peur de ce qui a un goût sur (acide).,Troubles psychologiques,Gustatif,#3c3a40,acerophobie-83,Adulte,Traumatisme,Acien,http://fr.wiktionary.org/wiki/ac%C3%A9rophobie,Non,20,Non,20,Non,20,1,4
Achluophobie,Peur de l'obscurité et du noir.,Troubles psychologiques,Obscurité,#19264c,achluophobie-43,Enfant,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Achluophobie,Oui,10,Oui,10,Non,20,9,3
Achmophobie,"Peur des aiguilles et des objets pointus (ciseaux, couteaux, seringues par exemple).",Troubles psychologiques,Objet,#821b22,achmophobie-15,Adulte / Enfant,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Aichmophobie,Oui,10,Oui,10,Oui,10,13,1
Acrophobie,Peur des hauteurs ; s'accompagne souvent de vertiges.,Troubles psychologiques,Vertige,#f49231,acrophobie-18,Adulte,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Acrophobie,Oui,10,Non,20,Oui,10,40,2
Aérodromophobie,"Peur de l'avion, des voyages en avion.",Troubles psychologiques,Transport,#404096,aerodromophobie-19,Adulte,Traumatisme,Moderne,http://fr.wikipedia.org/wiki/Aviophobie,Oui,10,Non,20,Oui,10,26,2
Aérophobie,Peur de l'air et du vent.,Troubles psychologiques,Elements naturels,#49684a,aerophobie-59,Adulte,Inconnu,Ancien,http://fr.wiktionary.org/wiki/a%C3%A9rophobie,Non,20,Oui,10,Oui,10,1,3
Agoraphobie,"Peur des espaces publics et, par extension, de la foule, des espaces où la fuite est rendue difficile.",Troubles psychologiques,Social,#c4a67a,agoraphobie-01,Adulte,Traumatisme,Ancien,http://fr.wikipedia.org/wiki/Agoraphobie,Oui,10,Oui,10,Oui,10,48,1
Ailurophobie,Peur des chats.,Phobies animales,Mythe et religion,#c3b765,ailurophobie-20,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://fr.wikipedia.org/wiki/Ailurophobie,Oui,10,Oui,10,Non,20,21,2
Alektorophobie,Peur des poulets.,Phobies animales,Maladie,#915626,alektorophobie-75,Adulte / Enfant,Traumatisme / Inconnu,Ancien,http://www.linternaute.com/dictionnaire/fr/definition/alektorophobie/,Non,20,Non,20,Non,20,1,4
Algophobie,Peur de la douleur.,Troubles psychologiques,Maladie,#ce92b8,algophobie-39,Adulte,Inconnu,Ancien,http://fr.wikipedia.org/wiki/Algophobie,Oui,10,Non,20,Non,20,16,3
